category,category.keyword,currency,customer_first_name,customer_first_name.keyword,customer_full_name,customer_full_name.keyword,customer_gender,customer_id,customer_last_name,customer_last_name.keyword,customer_phone,day_of_week,day_of_week_i,email,event.dataset,geoip.city_name,geoip.continent_name,geoip.country_iso_code,geoip.location,geoip.region_name,manufacturer,manufacturer.keyword,order_date,order_id,products._id,products._id.keyword,products.base_price,products.base_unit_price,products.category,products.category.keyword,products.created_on,products.discount_amount,products.discount_percentage,products.manufacturer,products.manufacturer.keyword,products.min_price,products.price,products.product_id,products.product_name,products.product_name.keyword,products.quantity,products.sku,products.tax_amount,products.taxful_price,products.taxless_price,products.unit_discount_amount,sku,taxful_total_price,taxless_total_price,total_quantity,total_unique_products,type,user
Women's Clothing,Women's Clothing,EUR,Abigail,Abigail,Abigail Hampton,Abigail Hampton,FEMALE,46,Hampton,Hampton,(empty),Tuesday,1,abigail@hampton-family.zzz,sample_ecommerce,Birmingham,Europe,GB,"{
  ""coordinates"": [
    -1.9,
    52.5
  ],
  ""type"": ""Point""
}",Birmingham,"Gnomehouse mom, Gnomehouse","Gnomehouse mom, Gnomehouse","Sep 27, 2021 @ 20:45:07.000",576112,"sold_product_576112_14701, sold_product_576112_18016","sold_product_576112_14701, sold_product_576112_18016","$21.98, $60.00","$21.98, $60.00","Women's Clothing, Women's Clothing","Women's Clothing, Women's Clothing","Dec 19, 2016 @ 19:45:07.000, Dec 19, 2016 @ 19:45:07.000","0, 0","0, 0","Gnomehouse mom, Gnomehouse","Gnomehouse mom, Gnomehouse","$10.34, $27.02","$21.98, $60.00","14,701, 18,016","Long sleeved top - light blue, Summer dress - black","Long sleeved top - light blue, Summer dress - black","1, 1","ZO0234402344, ZO0339703397","0, 0","$21.98, $60.00","$21.98, $60.00","0, 0","ZO0234402344, ZO0339703397",$82 ,$82.00 ,2,2,order,abigail
"Women's Accessories, Women's Clothing","Women's Accessories, Women's Clothing",EUR,Selena,Selena,Selena Cross,Selena Cross,FEMALE,42,Cross,Cross,(empty),Tuesday,1,selena@cross-family.zzz,sample_ecommerce,Marrakesh,Africa,MA,"{
  ""coordinates"": [
    -8,
    31.6
  ],
  ""type"": ""Point""
}",Marrakech-Tensift-Al Haouz,"Gnomehouse, Spherecords","Gnomehouse, Spherecords","Sep 27, 2021 @ 20:14:53.000",576082,"sold_product_576082_19610, sold_product_576082_15500","sold_product_576082_19610, sold_product_576082_15500","$50.00, $65.00","$50.00, $65.00","Women's Accessories, Women's Clothing","Women's Accessories, Women's Clothing","Dec 19, 2016 @ 19:14:53.000, Dec 19, 2016 @ 19:14:53.000","0, 0","0, 0","Gnomehouse, Spherecords","Gnomehouse, Spherecords","$23.02, $33.13","$50.00, $65.00","19,610, 15,500","Across body bag - light brown, Jumper - dark grey","Across body bag - light brown, Jumper - dark grey","1, 1","ZO0356603566, ZO0655906559","0, 0","$50.00, $65.00","$50.00, $65.00","0, 0","ZO0356603566, ZO0655906559",$115 ,$115.00 ,2,2,order,selena
Women's Clothing,Women's Clothing,EUR,rania,rania,rania Mckenzie,rania Mckenzie,FEMALE,24,Mckenzie,Mckenzie,(empty),Tuesday,1,rania@mckenzie-family.zzz,sample_ecommerce,Cairo,Africa,EG,"{
  ""coordinates"": [
    31.3,
    30.1
  ],
  ""type"": ""Point""
}",Cairo Governorate,"Pyramidustries active, Tigress Enterprises","Pyramidustries active, Tigress Enterprises","Sep 27, 2021 @ 20:09:07.000",576076,"sold_product_576076_10517, sold_product_576076_17821","sold_product_576076_10517, sold_product_576076_17821","$33.00, $18.98","$33.00, $18.98","Women's Clothing, Women's Clothing","Women's Clothing, Women's Clothing","Dec 19, 2016 @ 19:09:07.000, Dec 19, 2016 @ 19:09:07.000","0, 0","0, 0","Pyramidustries active, Tigress Enterprises","Pyramidustries active, Tigress Enterprises","$15.51, $10.06","$33.00, $18.98","10,517, 17,821","Tracksuit top - black, Nightie - dark purple","Tracksuit top - black, Nightie - dark purple","1, 1","ZO0227502275, ZO0100301003","0, 0","$33.00, $18.98","$33.00, $18.98","0, 0","ZO0227502275, ZO0100301003",$51.97 ,$51.97 ,2,2,order,rani
"Men's Shoes, Women's Accessories","Men's Shoes, Women's Accessories",EUR,Kamal,Kamal,Kamal Hale,Kamal Hale,MALE,39,Hale,Hale,(empty),Tuesday,1,kamal@hale-family.zzz,sample_ecommerce,Istanbul,Asia,TR,"{
  ""coordinates"": [
    29,
    41
  ],
  ""type"": ""Point""
}",Istanbul,"(empty), Angeldale","(empty), Angeldale","Sep 27, 2021 @ 19:59:02.000",576071,"sold_product_576071_12832, sold_product_576071_13275","sold_product_576071_12832, sold_product_576071_13275","$190.00, $50.00","$190.00, $50.00","Men's Shoes, Women's Accessories","Men's Shoes, Women's Accessories","Dec 19, 2016 @ 18:59:02.000, Dec 19, 2016 @ 18:59:02.000","0, 0","0, 0","(empty), Angeldale","(empty), Angeldale","$100.69, $23.50","$190.00, $50.00","12,832, 13,275","Demi-Boots, Rucksack - grey","Demi-Boots, Rucksack - grey","1, 1","ZO0483904839, ZO0703007030","0, 0","$190.00, $50.00","$190.00, $50.00","0, 0","ZO0483904839, ZO0703007030",$240 ,$240.00 ,2,2,order,kamal
Women's Clothing,Women's Clothing,EUR,Elyssa,Elyssa,Elyssa Underwood,Elyssa Underwood,FEMALE,27,Underwood,Underwood,(empty),Tuesday,1,elyssa@underwood-family.zzz,sample_ecommerce,New York,North America,US,"{
  ""coordinates"": [
    -74,
    40.8
  ],
  ""type"": ""Point""
}",New York,"Spherecords, Spherecords Curvy","Spherecords, Spherecords Curvy","Sep 27, 2021 @ 19:47:31.000",576063,"sold_product_576063_24436, sold_product_576063_16672","sold_product_576063_24436, sold_product_576063_16672","$38.00, $21.98","$38.00, $21.98","Women's Clothing, Women's Clothing","Women's Clothing, Women's Clothing","Dec 19, 2016 @ 18:47:31.000, Dec 19, 2016 @ 18:47:31.000","0, 0","0, 0","Spherecords, Spherecords Curvy","Spherecords, Spherecords Curvy","$20.13, $12.09","$38.00, $21.98","24,436, 16,672","Down jacket - black, Blouse - off white","Down jacket - black, Blouse - off white","1, 1","ZO0657506575, ZO0710807108","0, 0","$38.00, $21.98","$38.00, $21.98","0, 0","ZO0657506575, ZO0710807108",$59.97 ,$59.97 ,2,2,order,elyssa
"Women's Clothing, Women's Shoes","Women's Clothing, Women's Shoes",EUR,Stephanie,Stephanie,Stephanie Byrd,Stephanie Byrd,FEMALE,6,Byrd,Byrd,(empty),Tuesday,1,stephanie@byrd-family.zzz,sample_ecommerce,Cannes,Europe,FR,"{
  ""coordinates"": [
    7,
    43.6
  ],
  ""type"": ""Point""
}",Alpes-Maritimes,"Spherecords, Pyramidustries","Spherecords, Pyramidustries","Sep 27, 2021 @ 19:40:19.000",576053,"sold_product_576053_11730, sold_product_576053_11758","sold_product_576053_11730, sold_product_576053_11758","$6.99, $45.00","$6.99, $45.00","Women's Clothing, Women's Shoes","Women's Clothing, Women's Shoes","Dec 19, 2016 @ 18:40:19.000, Dec 19, 2016 @ 18:40:19.000","0, 0","0, 0","Spherecords, Pyramidustries","Spherecords, Pyramidustries","$3.43, $20.25","$6.99, $45.00","11,730, 11,758","Leggings - dark grey, Platform boots - black","Leggings - dark grey, Platform boots - black","1, 1","ZO0631906319, ZO0140201402","0, 0","$6.99, $45.00","$6.99, $45.00","0, 0","ZO0631906319, ZO0140201402",$51.97 ,$51.97 ,2,2,order,stephanie
"Men's Accessories, Men's Clothing","Men's Accessories, Men's Clothing",EUR,Samir,Samir,Samir Lambert,Samir Lambert,MALE,34,Lambert,Lambert,(empty),Tuesday,1,samir@lambert-family.zzz,sample_ecommerce,Dubai,Asia,AE,"{
  ""coordinates"": [
    55.3,
    25.3
  ],
  ""type"": ""Point""
}",Dubai,"Low Tide Media, Elitelligence","Low Tide Media, Elitelligence","Sep 27, 2021 @ 19:34:34.000",576044,"sold_product_576044_12628, sold_product_576044_18599","sold_product_576044_12628, sold_product_576044_18599","$21.98, $20.98","$21.98, $20.98","Men's Accessories, Men's Clothing","Men's Accessories, Men's Clothing","Dec 19, 2016 @ 18:34:34.000, Dec 19, 2016 @ 18:34:34.000","0, 0","0, 0","Low Tide Media, Elitelligence","Low Tide Media, Elitelligence","$11.43, $11.54","$21.98, $20.98","12,628, 18,599","Laptop bag - black/brown, Sweatshirt - mottled light grey","Laptop bag - black/brown, Sweatshirt - mottled light grey","1, 1","ZO0464504645, ZO0586005860","0, 0","$21.98, $20.98","$21.98, $20.98","0, 0","ZO0464504645, ZO0586005860",$42.97 ,$42.97 ,2,2,order,samir
"Women's Clothing, Women's Shoes","Women's Clothing, Women's Shoes",EUR,Elyssa,Elyssa,Elyssa Barber,Elyssa Barber,FEMALE,27,Barber,Barber,(empty),Tuesday,1,elyssa@barber-family.zzz,sample_ecommerce,New York,North America,US,"{
  ""coordinates"": [
    -74,
    40.8
  ],
  ""type"": ""Point""
}",New York,"Spherecords, Oceanavigations, Pyramidustries","Spherecords, Oceanavigations, Pyramidustries","Sep 27, 2021 @ 19:28:48.000",728139,"sold_product_728139_22497, sold_product_728139_18813, sold_product_728139_22836, sold_product_728139_21927","sold_product_728139_22497, sold_product_728139_18813, sold_product_728139_22836, sold_product_728139_21927","$13.99, $55.00, $9.99, $28.98","$13.99, $55.00, $9.99, $28.98","Women's Clothing, Women's Shoes, Women's Clothing, Women's Shoes","Women's Clothing, Women's Shoes, Women's Clothing, Women's Shoes","Dec 19, 2016 @ 18:28:48.000, Dec 19, 2016 @ 18:28:48.000, Dec 19, 2016 @ 18:28:48.000, Dec 19, 2016 @ 18:28:48.000","0, 0, 0, 0","0, 0, 0, 0","Spherecords, Oceanavigations, Spherecords, Pyramidustries","Spherecords, Oceanavigations, Spherecords, Pyramidustries","$7.55, $26.41, $5.09, $15.07","$13.99, $55.00, $9.99, $28.98","22,497, 18,813, 22,836, 21,927","Maxi skirt - blue, Slip-ons - rose/paris, Basic T-shirt - black, Trainers - white","Maxi skirt - blue, Slip-ons - rose/paris, Basic T-shirt - black, Trainers - white","1, 1, 1, 1","ZO0633306333, ZO0240902409, ZO0646906469, ZO0143901439","0, 0, 0, 0","$13.99, $55.00, $9.99, $28.98","$13.99, $55.00, $9.99, $28.98","0, 0, 0, 0","ZO0633306333, ZO0240902409, ZO0646906469, ZO0143901439",$107.94 ,$107.94 ,4,4,order,elyssa
"Men's Accessories, Men's Shoes","Men's Accessories, Men's Shoes",EUR,Abd,Abd,Abd Hernandez,Abd Hernandez,MALE,52,Hernandez,Hernandez,(empty),Tuesday,1,abd@hernandez-family.zzz,sample_ecommerce,Cairo,Africa,EG,"{
  ""coordinates"": [
    31.3,
    30.1
  ],
  ""type"": ""Point""
}",Cairo Governorate,"Oceanavigations, Elitelligence","Oceanavigations, Elitelligence","Sep 27, 2021 @ 19:25:55.000",576030,"sold_product_576030_13515, sold_product_576030_12818","sold_product_576030_13515, sold_product_576030_12818","$85.00, $16.98","$85.00, $16.98","Men's Accessories, Men's Shoes","Men's Accessories, Men's Shoes","Dec 19, 2016 @ 18:25:55.000, Dec 19, 2016 @ 18:25:55.000","0, 0","0, 0","Oceanavigations, Elitelligence","Oceanavigations, Elitelligence","$41.66, $8.33","$85.00, $16.98","13,515, 12,818","Laptop bag - brandy, Trainers - black","Laptop bag - brandy, Trainers - black","1, 1","ZO0314503145, ZO0507905079","0, 0","$85.00, $16.98","$85.00, $16.98","0, 0","ZO0314503145, ZO0507905079",$102 ,$102.00 ,2,2,order,abd
"Women's Clothing, Women's Shoes","Women's Clothing, Women's Shoes",EUR,rania,rania,rania Sharp,rania Sharp,FEMALE,24,Sharp,Sharp,(empty),Tuesday,1,rania@sharp-family.zzz,sample_ecommerce,Cairo,Africa,EG,"{
  ""coordinates"": [
    31.3,
    30.1
  ],
  ""type"": ""Point""
}",Cairo Governorate,"Tigress Enterprises, Low Tide Media","Tigress Enterprises, Low Tide Media","Sep 27, 2021 @ 19:14:24.000",576018,"sold_product_576018_12244, sold_product_576018_22710","sold_product_576018_12244, sold_product_576018_22710","$18.98, $60.00","$18.98, $60.00","Women's Clothing, Women's Shoes","Women's Clothing, Women's Shoes","Dec 19, 2016 @ 18:14:24.000, Dec 19, 2016 @ 18:14:24.000","0, 0","0, 0","Tigress Enterprises, Low Tide Media","Tigress Enterprises, Low Tide Media","$8.93, $27.02","$18.98, $60.00","12,244, 22,710","Long sleeved top - bordeaux, Lace-ups - grey","Long sleeved top - bordeaux, Lace-ups - grey","1, 1","ZO0054200542, ZO0368703687","0, 0","$18.98, $60.00","$18.98, $60.00","0, 0","ZO0054200542, ZO0368703687",$79 ,$79.00 ,2,2,order,rani
Men's Clothing,Men's Clothing,EUR,Sultan Al,Sultan Al,Sultan Al Hubbard,Sultan Al Hubbard,MALE,19,Hubbard,Hubbard,(empty),Tuesday,1,sultan al@hubbard-family.zzz,sample_ecommerce,Abu Dhabi,Asia,AE,"{
  ""coordinates"": [
    54.4,
    24.5
  ],
  ""type"": ""Point""
}",Abu Dhabi,"Spherecords, Elitelligence","Spherecords, Elitelligence","Sep 27, 2021 @ 19:14:24.000",576019,"sold_product_576019_16430, sold_product_576019_2544","sold_product_576019_16430, sold_product_576019_2544","$16.98, $60.00","$16.98, $60.00","Men's Clothing, Men's Clothing","Men's Clothing, Men's Clothing","Dec 19, 2016 @ 18:14:24.000, Dec 19, 2016 @ 18:14:24.000","0, 0","0, 0","Spherecords, Elitelligence","Spherecords, Elitelligence","$8.16, $30.59","$16.98, $60.00","16,430, 2,544","3 PACK - Boxer shorts - red, Winter jacket - dark blue","3 PACK - Boxer shorts - red, Winter jacket - dark blue","1, 1","ZO0662806628, ZO0542805428","0, 0","$16.98, $60.00","$16.98, $60.00","0, 0","ZO0662806628, ZO0542805428",$77 ,$77.00 ,2,2,order,sultan
Men's Clothing,Men's Clothing,EUR,Thad,Thad,Thad Graham,Thad Graham,MALE,30,Graham,Graham,(empty),Tuesday,1,thad@graham-family.zzz,sample_ecommerce,New York,North America,US,"{
  ""coordinates"": [
    -74,
    40.8
  ],
  ""type"": ""Point""
}",New York,"Low Tide Media, Spritechnologies","Low Tide Media, Spritechnologies","Sep 27, 2021 @ 19:07:12.000",576007,"sold_product_576007_17635, sold_product_576007_17455","sold_product_576007_17635, sold_product_576007_17455","$28.98, $16.98","$28.98, $16.98","Men's Clothing, Men's Clothing","Men's Clothing, Men's Clothing","Dec 19, 2016 @ 18:07:12.000, Dec 19, 2016 @ 18:07:12.000","0, 0","0, 0","Low Tide Media, Spritechnologies","Low Tide Media, Spritechnologies","$13.92, $9.01","$28.98, $16.98","17,635, 17,455","Shirt - navy, Sports shorts - navy blazer","Shirt - navy, Sports shorts - navy blazer","1, 1","ZO0415404154, ZO0619106191","0, 0","$28.98, $16.98","$28.98, $16.98","0, 0","ZO0415404154, ZO0619106191",$45.97 ,$45.97 ,2,2,order,thad
